renewable energy generation percentage,non-renewable energy generation percentage,date
0.27185906995552234,0.7281409300444777,2017-01-19
0.26925007199683376,0.7307499280031662,2017-01-20
0.320063781088517,0.679936218911483,2017-01-21
0.3161474130475184,0.6838525869524816,2017-01-22
0.3271045142089073,0.6728954857910927,2017-01-23
0.27906535739396915,0.7209346426060308,2017-01-24
0.30500055181364505,0.694999448186355,2017-01-25
0.3598676593194034,0.6401323406805965,2017-01-26
0.3743690742287896,0.6256309257712104,2017-01-27
0.3137818186856224,0.6862181813143776,2017-01-28
0.30534555515481626,0.6946544448451837,2017-01-29
0.2716243632660507,0.7283756367339493,2017-01-30
0.3146777221918192,0.6853222778081808,2017-01-31
0.4553464606835471,0.5446535393164529,2017-02-01
0.4705033942961809,0.5294966057038191,2017-02-02
0.5148302686228933,0.4851697313771067,2017-02-03
0.5701690424730216,0.4298309575269784,2017-02-04
0.4899697150096417,0.5100302849903583,2017-02-05
0.41069964934991104,0.5893003506500889,2017-02-06
0.43524759254699424,0.5647524074530057,2017-02-07
0.333700952424252,0.666299047575748,2017-02-08
0.3239507781720674,0.6760492218279326,2017-02-09
0.39955749047577793,0.6004425095242221,2017-02-10
0.5374223949932039,0.4625776050067961,2017-02-11
0.44394650556703796,0.556053494432962,2017-02-12
0.32810892663609026,0.6718910733639097,2017-02-13
0.3181783697365428,0.6818216302634572,2017-02-14
0.27713812809914234,0.7228618719008577,2017-02-15
0.2422734499336788,0.7577265500663212,2017-02-16
0.23197691242719576,0.7680230875728042,2017-02-17
0.3671102628207063,0.6328897371792936,2017-02-18
0.34728395144955354,0.6527160485504464,2017-02-19
0.3457828792541186,0.6542171207458813,2017-02-20
0.2832261783059173,0.7167738216940827,2017-02-21
0.26147859849186916,0.7385214015081308,2017-02-22
0.3810128775959542,0.6189871224040457,2017-02-23
0.31638468102420003,0.6836153189758,2017-02-24
0.2969834153532929,0.7030165846467071,2017-02-25
0.4759977731479958,0.5240022268520041,2017-02-26
0.5240839041014835,0.47591609589851647,2017-02-27
0.39476075889351975,0.6052392411064802,2017-02-28
0.3579024561000412,0.6420975438999588,2017-03-01
0.5185560534702746,0.48144394652972544,2017-03-02
0.5140392851812864,0.4859607148187136,2017-03-03
0.49519253565833077,0.5048074643416692,2017-03-04
0.5323678308963466,0.46763216910365335,2017-03-05
0.4865045547493168,0.5134954452506832,2017-03-06
0.36741541924412663,0.6325845807558734,2017-03-07
0.3629581728622568,0.6370418271377432,2017-03-08
0.35940805263282427,0.6405919473671757,2017-03-09
0.40316048095598495,0.596839519044015,2017-03-10
0.5135975914643607,0.4864024085356393,2017-03-11
0.545693782271477,0.454306217728523,2017-03-12
0.5236136401903154,0.4763863598096846,2017-03-13
0.47468803360189377,0.5253119663981063,2017-03-14
0.45134163592823145,0.5486583640717686,2017-03-15
0.41147340783939473,0.5885265921606053,2017-03-16
0.3928073878703681,0.6071926121296318,2017-03-17
0.35528330855250123,0.6447166914474988,2017-03-18
0.36762702908307826,0.6323729709169217,2017-03-19
0.45108418478473594,0.548915815215264,2017-03-20
0.4941843501252577,0.5058156498747424,2017-03-21
0.4088514903949031,0.5911485096050969,2017-03-22
0.3345609199200398,0.6654390800799602,2017-03-23
0.42923256332217136,0.5707674366778286,2017-03-24
0.4671318568866247,0.5328681431133753,2017-03-25
0.41962433174459446,0.5803756682554055,2017-03-26
0.3422379765771735,0.6577620234228265,2017-03-27
0.36193377126214876,0.6380662287378512,2017-03-28
0.43400802393368254,0.5659919760663175,2017-03-29
0.468346927683162,0.531653072316838,2017-03-30
0.5308946544405212,0.4691053455594788,2017-03-31
